id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	in_range_swaps	price_lower	price_upper	price_range	price_mid	wallet	auto_rebalance	cutoff_tick_low	cutoff_tick_high	buffer_ticks_below	buffer_ticks_above	tick_spaces_below	tick_spaces_above	dust_bp
162150	4	5	1	37960.824454	879.195185	38839.667053	0	38840.019639	0.5249644853705075	0.04	0.49	0	71	1.2004	1.2005	0.0001	1.2005	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
162151	4	5	1	33554.305098	777.137586	34331.131027	0	34331.442683999994	0.4223589330739378	0.04	0.45	0	56	1.2004	1.2005	0.0001	1.2005	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
127161	0	1	1	1596.689904	2569.247564	0	4166.066536	4165.937468	0.05002187884563117	0.04	0.44	100	100	1.2000	1.2001	0.0001	1.2000	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
133992	9	10	1	565.917489	2484.920595	0	3051.398997	3050.838084	0.04369040896297702	0.04	0.52	100	100	1.2009	1.2010	0.0001	1.2010	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
99754	1	6	5	203.544259	797.550782	204.800976	796.293438	1001.095041	0.014235177046601212	0.04	0.52	100	100	1.2001	1.2006	0.0005	1.2004	0x0aac7b14848701daf57939fcd51b60d1029cd57f	FALSE	0	0	0	0	2	2	0
159900	7	8	1	27188.284009	7169.791656	34352.984108	0	34358.075665	0.314064151677538	0.03	0.33	0	50	1.2007	1.2008	0.0001	1.2008	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
98699	-5	-2	3	555.163921	728.418629	0	1283.435533	1283.58255	0.30564520175876736	0.03	0.40	10	8	0.9995	0.9998	0.0003	0.9997	0xa95695c71256e41c5d128ed8bcca88a01dace919	FALSE	0	0	0	0	0	0	0
142233	10	12	2	1634.379201	7297.02667	8923.517456	0	8931.405871	0.07568638005387275	0.03	0.31	0	46	1.2010	1.2012	0.0002	1.2011	0xc61cc3107ad698103ace17beb39b1ac139646209	TRUE	-887272	887272	0	0	1	0	100
127085	-1	0	1	2519.716024	1647.207351	0	4166.847198	4166.923375	0.045832311543558844	0.03	0.40	0	100	0.9999	1.2000	0.0001	1.2000	0x8e07ab8fc9e5f2613b17a5e5069673d522d0207a	FALSE	0	0	0	0	0	0	0
162155	4	5	1	2896.783443	36.66927	2933.438025	0	2933.4527129999997	0.029627418487896698	0.03	0.37	0	50	1.2004	1.2005	0.0001	1.2005	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
113021	-2	-1	1	706.028073	2350.678766	3057.086597	0	3056.706839	0.028955987434985956	0.03	0.35	0	50	0.9998	0.9999	0.0001	0.9999	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
99156	-3	-1	2	903.0015	1084.584723	0	1987.454918	1987.5862229999998	0.01881327276966205	0.03	0.35	92	70	0.9997	0.9999	0.0002	0.9998	0x9ddc19759ff10b381e0e1fe2df88f5c07a69138a	TRUE	-887272	887272	0	0	1	0	100
159871	8	9	1	1151.608209	57489.157228	58591.979303	0	58640.765436999995	0.4164036970656677	0.02	0.26	0	50	1.2008	1.2009	0.0001	1.2009	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
159872	8	9	1	2149.632251	32237.353294	34359.69756	0	34386.985545	0.22858708009054643	0.02	0.24	0	40	1.2008	1.2009	0.0001	1.2009	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
159901	7	8	1	2329.675305	605.893978	2935.139082	0	2935.5692830000003	0.024351661761325274	0.02	0.30	0	25	1.2007	1.2008	0.0001	1.2008	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
159874	8	9	1	277.524382	2668.613351	2943.883055	0	2946.137733	0.018597900312521815	0.02	0.23	0	40	1.2008	1.2009	0.0001	1.2009	0xb0bada5d45d939a03c6d211d24a61a4418d7cd13	TRUE	-887272	887272	0	0	0	0	100
