id	tick_lower	tick_upper	ticks	deposited_token0	deposited_token1	collected_token0	collected_token1	total_deposited_usd	total_profit_usd	apr_30d	apr	in_range	impermanent_loss	wallet	open_price	close_price	open_date	close_date
10778080	-68000	-66000	2000	38961.36597	1.78192075	38483.235458	1.78815263	175175.15915112215	24604.845025252354	7.39	89.94	0	0.00		76442.11628442069518625482634939409	90203.02071103097894253410031531367	1744158893	1745326800
10788740	-68000	-66000	2000	36023.932709	1.7818565	35890.646083	1.78359786	172561.72718968237	24214.833599048157	7.39	89.86	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744178039	1745326800
10772840	-68000	-66000	2000	34796.402317	1.782	34740.354983	1.78273302	171466.5164414185	24081.74206688031	7.39	89.93	0	0.00		76694.78907094191479495877472173798	90203.02071103097894253410031531367	1744152463	1745326800
10788206	-68000	-66000	2000	36287.38456	1.782	36097.954122	1.78447437	172836.17497301922	24226.757704394768	7.38	89.76	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744177091	1745326800
10806171	-68000	-66000	2000	33898.571241	1.782	33898.57124	1.78199999	170707.06798177864	23933.285263248377	7.38	89.78	0	0.00		76772.44486014515035503197843169561	90203.02071103097894253410031531367	1744202649	1745326800
10806180	-68000	-66000	2000	33898.571241	1.782	33898.57124	1.78199999	170707.06798177864	23933.285263248377	7.38	89.78	0	0.00		76772.44486014515035503197843169561	90203.02071103097894253410031531367	1744202659	1745326800
10787963	-68000	-66000	2000	36399.696759	1.782	36243.092522	1.78404535	172948.4871720192	24220.885005449316	7.37	89.68	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744176681	1745326800
10788199	-68000	-66000	2000	36337.251338	1.782	36337.251337	1.78199999	172886.04175101922	24192.991591007805	7.37	89.61	0	0.00		76626.70618014547323983690932796173	90203.02071103097894253410031531367	1744177077	1745326800
10772803	-68000	-66000	2000	35235.323954	1.782	35151.37767	1.78309748	171905.4380784185	24086.718509808656	7.37	89.72	0	0.00		76694.78907094191479495877472173798	90203.02071103097894253410031531367	1744152427	1745326800
10805166	-68000	-66000	2000	34139.623192	1.782	34028.183336	1.78345839	170948.11993277865	23953.397493653334	7.37	89.73	0	0.00		76772.44486014515035503197843169561	90203.02071103097894253410031531367	1744201321	1745326800
